PC	r2	rho	lc	up	test	gwas	contrast	chrtype_gwas	chrtype_test
38	0.0107774422635005	0.00937049415036687	0.00630527982817989	0.0124355323855242	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
39	0.0109599720277683	-0.0135103578781545	-0.0165750668653134	-0.0104453950331535	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
40	0.010987258539674	0.00522364942342381	0.00215828854638222	0.0082889121335419	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-even
1	0.00391834216233629	0.0625966625495025	0.0595426923743808	0.065649460936354	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
2	0.00445818422232418	0.0232345015963416	0.0201705427648541	0.0262980240106297	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
3	0.00449934176109399	0.00641541423178332	0.00335008467706939	0.00948062322466564	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
4	0.00482073012102131	-0.0179273074384284	-0.0209915492995631	-0.014862728772335	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
5	0.00507856665721107	0.0160572892380632	0.0129925333190265	0.0191217434654787	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
6	0.00588089734405884	0.0283254426006304	0.0252622406509557	0.0313881126489104	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
7	0.00590172012996482	0.00456319910370415	0.00149782461854222	0.00762848783308951	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
8	0.00590466855723431	0.00171709863489894	-0.00134830389876225	0.00478246889870831	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
9	0.00598095105434384	-0.00873398502498446	-0.0117990645639857	-0.00566874135811761	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
10	0.00599005253814847	0.00301686647887477	-4.85294066670179e-05	0.00608220566806071	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
11	0.00620715995846719	0.0147345648817811	0.0116696965333441	0.0177991563792629	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
12	0.00622187663024878	0.00383623107565823	0.000770844703709576	0.00690154535323268	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
13	0.00665808777728341	0.0208856680705981	0.0178214136112133	0.0239495301906071	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
14	0.0067543277443768	0.00981019732590117	0.00674500472584067	0.0128752055777395	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
15	0.00675640658841302	-0.00144181978680191	-0.00450719530288265	0.00162358282577194	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
16	0.00755930044306482	-0.0283353813196866	-0.0313980495485825	-0.0252721810030645	le	WBS	EUROPEAN_NEOLITHIC	chr-even	test-odd
