q	p	q_NoSign	p_NoSign	phenotype	covar	pc	contrast	test	testSize	gwas	gwasSize
-2.08495529779376	0.0370733584334184	-0.976412973041126	0.328859855217244	StandingHeight_50	FALSE	0	north	t5000	5000	g50000	50000
0.572654259512625	0.566878813471612	0.577637548080486	0.563508851103129	Educational_Attainment_6138	FALSE	10	north	t100000	1e+05	g50000	50000
-1.35609140480265	0.175070087293701	-1.26767254453582	0.204914913406974	Educational_Attainment_6138	FALSE	10	north	t1000	1000	g50000	50000
-1.546587350593	0.121962781874015	-1.28676713025824	0.19817546686728	Educational_Attainment_6138	FALSE	10	north	t100	100	g50000	50000
0.600835771251659	0.547949376111889	0.959165037866528	0.337475610341006	Educational_Attainment_6138	FALSE	10	north	t50000	50000	g50000	50000
-0.923325997653336	0.355837343649802	-0.68414383535873	0.493884343867421	Educational_Attainment_6138	FALSE	10	north	t5000	5000	g50000	50000
-0.638065270195347	0.523431192953668	-0.563344618848609	0.57320024072257	StandingHeight_50	FALSE	10	north	t100000	1e+05	g50000	50000
0.774794224497774	0.438461262589016	0.650341677058368	0.515471541630778	StandingHeight_50	FALSE	10	north	t1000	1000	g50000	50000
1.24414671816652	0.213445569470575	1.50338897384683	0.132738768239093	StandingHeight_50	FALSE	10	north	t100	100	g50000	50000
0.350221507602124	0.726172466915013	0.410781401001058	0.681232832297208	StandingHeight_50	FALSE	10	north	t50000	50000	g50000	50000
-0.595755415785298	0.55133863195204	-0.645276895562984	0.518747762512785	StandingHeight_50	FALSE	10	north	t5000	5000	g50000	50000
-0.881938987511267	0.377809802140814	-0.553232050062439	0.58010452319121	Educational_Attainment_6138	TRUE	0	east	t100000	1e+05	g50000	50000
4.95278140484993	7.31601449398564e-07	4.87930570653323	1.06459940661925e-06	Educational_Attainment_6138	TRUE	0	east	t1000	1000	g50000	50000
2.07604374471648	0.0378899053282316	2.63197422450024	0.00848903029525751	Educational_Attainment_6138	TRUE	0	east	t100	100	g50000	50000
-0.745747543938179	0.455819932946814	-1.03396172476326	0.301154057020489	Educational_Attainment_6138	TRUE	0	east	t50000	50000	g50000	50000
0.166290706790335	0.867928179133947	0.842348791653466	0.399592747619865	Educational_Attainment_6138	TRUE	0	east	t5000	5000	g50000	50000
2.46452541932291	0.0137194831812449	1.82490351236778	0.0680155911013057	StandingHeight_50	TRUE	0	east	t100000	1e+05	g50000	50000
0.302759105113356	0.762073450919633	0.915174770574715	0.360099887208768	StandingHeight_50	TRUE	0	east	t1000	1000	g50000	50000
1.13013783364237	0.258418149888972	1.21434925994478	0.224614382442387	StandingHeight_50	TRUE	0	east	t100	100	g50000	50000
1.6888049512975	0.0912568146777028	1.21312592177901	0.225081680741425	StandingHeight_50	TRUE	0	east	t50000	50000	g50000	50000
0.653003602612428	0.513753955975133	0.139328537500719	0.889190540143521	StandingHeight_50	TRUE	0	east	t5000	5000	g50000	50000
-1.2202051482324	0.222387115739742	-0.774074698178451	0.438886618976767	Educational_Attainment_6138	TRUE	10	east	t100000	1e+05	g50000	50000
-0.223255389503463	0.82333674502487	0.328853901619763	0.742266119201315	Educational_Attainment_6138	TRUE	10	east	t1000	1000	g50000	50000
1.31708596244583	0.187809811811041	1.34295321487579	0.179287123547719	Educational_Attainment_6138	TRUE	10	east	t100	100	g50000	50000
-1.66510229789908	0.0958923483716462	-1.56515684056858	0.117546138540732	Educational_Attainment_6138	TRUE	10	east	t50000	50000	g50000	50000
0.674872003492634	0.499757089036683	0.680141306097807	0.496414992189185	Educational_Attainment_6138	TRUE	10	east	t5000	5000	g50000	50000
0.784251692077146	0.432892439074585	0.848109929798069	0.396376752074963	StandingHeight_50	TRUE	10	east	t100000	1e+05	g50000	50000
